Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Courier Code,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students
1491,AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS,10 NINTH ROAD,HILBERT,WA,6112,10 NINTH ROAD,HILBERT,WA,6112,-32.17468068,116.0042944,POST,08 9391 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,6,6,8,8,4,4,4,2,,,,,,,,,42
1438,AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,26 BREWSTER ROAD,ALBANY,WA,6330,LOCKED BAG 5,ALBANY,WA,6330,-34.99550802,117.9227056,POST,08 9892 5100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y12,,15,12,21,14,23,28,40,,51,68,86,97,71,34,,560
1441,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,POST,08 9362 5340,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,50,60,81,92,105,108,104,93,,205,190,195,155,145,135,,1718
1391,AUSTRALIAN ISLAMIC COLLEGE - NORTH OF THE RIVER,81 CLEVELAND STREET,DIANELLA,WA,6059,81 CLEVELAND STREET,DIANELLA,WA,6059,-31.90293601,115.87444672,POST,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,49,76,82,81,91,85,75,77,,75,38,30,22,,,,781
1331,AUSTRALIAN ISLAMIC COLLEGE - PERTH,17 TONBRIDGE WAY,THORNLIE,WA,6108,17 TONBRIDGE WAY,THORNLIE,WA,6108,-32.05402507,115.96113961,POST,08 9493 2718,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,50,60,85,61,68,76,67,54,,,,,,,,,521
5629,AUSTRALIND PRIMARY SCHOOL,BARNES AVENUE,AUSTRALIND,WA,6233,PO BOX A630,AUSTRALIND,WA,6233,-33.28059897,115.7271368,POST,08 9796 3900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,21,17,14,19,20,23,31,,,,,,,,,165
4146,AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.72843646,POST,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,288,291,267,255,217,153,,1471
5853,AVELEY NORTH PRIMARY SCHOOL,77 STRINESDALE BOULEVARDE,AVELEY,WA,6069,77 STRINESDALE BOULEVARDE,AVELEY,WA,6069,-31.779284,115.993304,UNKNOWN,08 9297 7800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,106,100,93,65,44,38,39,21,,,,,,,,,506
5821,AVELEY PRIMARY SCHOOL,8 BOLERO ROAD,AVELEY,WA,6069,8 BOLERO ROAD,AVELEY,WA,6069,-31.79108088,115.9905586,C194,08 6296 5466,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,80,77,84,85,107,109,82,78,,,,,,,,,702
4209,AVELEY SECONDARY COLLEGE,MAFFINA PARADE,ELLENBROOK,WA,6069,MAFFINA PARADE,ELLENBROOK,WA,6069,-31.767004,115.987559,UNKNOWN,08 6296 1000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y09,,,,,,,,,,271,279,270,,,,,820
6041,AVONVALE EDUCATION SUPPORT CENTRE,HUTT STREET,NORTHAM,WA,6401,PO BOX 1061,NORTHAM,WA,6401,-31.64551218,116.6613138,POST,08 9621 5250,WHEATBELT,Education Support Centres,EDUCATION SUPPORT,PPR,Y12,,6,,1,3,3,2,3,,3,1,1,1,2,1,,27
5018,AVONVALE PRIMARY SCHOOL,HUTT STREET,NORTHAM,WA,6401,PO BOX 666,NORTHAM,WA,6401,-31.64551218,116.6613138,POST,08 9621 5200,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,18,13,17,16,9,16,19,10,,,,,,,,,118
5020,BABAKIN PRIMARY SCHOOL,FARRAR STREET,BABAKIN,WA,6428,PO BOX 288,CORRIGIN,WA,6375,-32.12359155,118.0209226,POST,08 9065 2023,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,2,,2,1,1,3,3,2,,,,,,,,,14
5021,BADGINGARRA PRIMARY SCHOOL,MCNAMARA ROAD,BADGINGARRA,WA,6521,C/- POST OFFICE,BADGINGARRA,WA,6521,-30.4024941,115.550545,POST,08 9652 9060,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,1,2,1,2,2,2,2,4,,,,,,,,,16
5022,BAKERS HILL PRIMARY SCHOOL,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,-31.75120467,116.4615984,POST,08 9574 1411,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,16,22,15,26,27,24,25,10,,,,,,,,,165
5023,BALCATTA PRIMARY SCHOOL,387 MAIN STREET,BALCATTA,WA,6021,387 MAIN STREET,BALCATTA,WA,6021,-31.88093054,115.82727286,POST,08 9253 4900,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,44,31,29,25,34,30,28,17,,,,,,,,,238
4004,BALCATTA SENIOR HIGH SCHOOL,31 POINCAIRE STREET,BALCATTA,WA,6021,31 POINCAIRE STREET,BALCATTA,WA,6021,-31.87551716,115.81224294,A430,08 9345 8200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,148,110,130,115,94,83,,680
5847,BALDIVIS GARDENS PRIMARY SCHOOL,NADINE PROMENADE,BALDIVIS,WA,6171,NADINE PROMENADE,BALDIVIS,WA,6171,-32.300823,115.810062,POST,08 9523 7000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,72,63,65,67,72,49,39,44,,,,,,,,,471
5024,BALDIVIS PRIMARY SCHOOL,214 FIFTY ROAD,BALDIVIS,WA,6171,214 FIFTY ROAD,BALDIVIS,WA,6171,-32.30718679,115.81747219,H205,08 9524 1150,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,78,51,88,78,80,82,84,96,,,,,,,,,637
4190,BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 4119,BALDIVIS,WA,6171,-32.334099,115.828418,H208,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,212,229,356,350,323,211,,1681
5580,BALER PRIMARY SCHOOL,BALER CLOSE,SOUTH HEDLAND,WA,6722,PO BOX 2621,SOUTH HEDLAND,WA,6722,-20.40461541,118.6124558,POST,08 9172 8400,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,56,68,75,67,65,82,58,72,,,,,,,,,543
5025,BALGA PRIMARY SCHOOL,11 FERNHURST CRESCENT,BALGA,WA,6061,11 FERNHURST CRESCENT,BALGA,WA,6061,-31.86059553,115.84480009,B250,08 9253 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,20,23,13,20,20,15,19,,,,,,,,,170
4050,BALGA SENIOR HIGH SCHOOL,2 MARKHAM WAY,BALGA,WA,6061,2 MARKHAM WAY,BALGA,WA,6061,-31.85134146,115.8465042,B210,08 9247 0222,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,83,77,106,117,102,88,,573
5027,BALINGUP PRIMARY SCHOOL,CNR BROCKMAN AND STEERE STS,BALINGUP,WA,6253,PO BOX 372,BALINGUP,WA,6253,-33.78633822,115.9822069,POST,08 9764 1093,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,9,9,9,20,6,13,7,3,,,,,,,,,76
4158,BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,B179,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,214,200,183,213,207,229,,1246
5702,BALLAJURA PRIMARY SCHOOL,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.83593382,115.892303,POST,08 9338 2200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,96,80,95,102,100,87,105,87,,,,,,,,,752
5609,BAMBARA PRIMARY SCHOOL,30 GOSSE ROAD,PADBURY,WA,6025,30 GOSSE ROAD,PADBURY,WA,6025,-31.79830122,115.7614207,A200,08 9307 5911,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,32,24,17,20,23,21,19,,,,,,,,,197
5762,BANKSIA GROVE PRIMARY SCHOOL,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,-31.70254405,115.80896211,POST,08 9233 6333    ,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,54,66,58,88,75,60,57,71,,,,,,,,,529
1577,BANKSIA MONTESSORI SCHOOL,17 CHATTON STREET,DIANELLA,WA,6059,17 CHATTON STREET,DIANELLA,WA,6059,-31.89277585,115.86928226,POST,08 9275 5997,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,PPR,10,10,,,,,,,,,,,,,,,20
5701,BANKSIA PARK PRIMARY SCHOOL,HICKS STREET,LEEMING,WA,6149,HICKS STREET,LEEMING,WA,6149,-32.07166263,115.8754583,G277,08 9266 6400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,32,33,29,29,35,36,34,40,,,,,,,,,268
5817,BANNISTER CREEK PRIMARY SCHOOL,92 PURLEY CRESCENT,LYNWOOD,WA,6147,92 PURLEY CRESCENT,LYNWOOD,WA,6147,-32.0397245,115.92850215,F430,08 9366 0900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,76,77,67,75,66,82,71,70,,,,,,,,,584
5030,BASSENDEAN PRIMARY SCHOOL,70 WEST ROAD,BASSENDEAN,WA,6054,70 WEST ROAD,BASSENDEAN,WA,6054,-31.90747284,115.9534451,UNKNOWN,08 6216 1400,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,53,50,38,33,22,46,33,40,,,,,,,,,315
5519,BATEMAN PRIMARY SCHOOL,2 BARTLING CRESCENT,BATEMAN,WA,6150,2 BARTLING CRESCENT,BATEMAN,WA,6150,-32.05066001,115.84534145,G260,08 6258 6900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,38,45,39,42,46,45,42,50,,,,,,,,,347
5830,BAYNTON WEST PRIMARY SCHOOL,MARNIYARRA LOOP,BAYNTON,WA,6714,MARNIYARRA LOOP,BAYNTON,WA,6714,-20.75252283,116.79939,POST,08 9187 6200,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,91,117,105,113,93,112,99,79,,,,,,,,,809
5031,BAYSWATER PRIMARY SCHOOL,MURRAY STREET,BAYSWATER,WA,6053,MURRAY STREET,BAYSWATER,WA,6053,-31.92081606,115.9117733,POST,08 9462  6600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,58,64,63,47,49,56,33,,,,,,,,,430
5190,BAYULU REMOTE COMMUNITY SCHOOL,GOGO STATION ROAD,VIA FITZROY CROSSING,WA,6765,PO BOX 76,FITZROY CROSSING,WA,6765,-18.28637,125.58345,POST,08 9191 5093,KIMBERLEY,Remote Community Schools,PRIMARY SCHOOLS,KIN,Y06,12,9,10,10,7,8,14,11,,,,,,,,,81
5032,BEACHLANDS PRIMARY SCHOOL,50 WHITFIELD STREET,GERALDTON,WA,6530,PO BOX 7170,GERALDTON PO,WA,6531,-28.78770753,114.6043717,POST,08 9921 1793,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,17,21,14,21,9,14,17,13,,,,,,,,,126
5033,BEACON PRIMARY SCHOOL,BROADBENT STREET,BEACON,WA,6472,C/- POST OFFICE,BEACON,WA,6472,-30.45065535,117.8688978,POST,08 9686 1022,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,6,2,3,2,2,2,2,2,,,,,,,,,21
5034,BEACONSFIELD PRIMARY SCHOOL,5 HALE STREET,BEACONSFIELD,WA,6162,5 HALE STREET,BEACONSFIELD,WA,6162,-32.068989,115.7593864,G160,08 9432 1000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,67,64,64,59,49,47,43,48,,,,,,,,,441
